date,nacara,psanchezcerro,puchaca
1-Jan-08,,1.04,2.434
2-Jan-08,,0.83,1.707
3-Jan-08,,0.63,4.267
4-Jan-08,,0.4167,3.017
5-Jan-08,,0,3.629
6-Jan-08,,0.4167,4.267
7-Jan-08,,0.42,5.847
8-Jan-08,,0,16.691
9-Jan-08,,0,10.124
10-Jan-08,,0,5.383
11-Jan-08,,0,4.485
12-Jan-08,,0,3.218
13-Jan-08,,0,6.801
14-Jan-08,,1.04,10.392
15-Jan-08,,0,4.929
16-Jan-08,,0.42,8.55
17-Jan-08,,0,9.592
18-Jan-08,,0,5.614
19-Jan-08,,0.83,4.706
20-Jan-08,,0.83,6.319
21-Jan-08,,1.04,5.614
22-Jan-08,,0,4.485
23-Jan-08,,0,3.838
24-Jan-08,,0,7.045
25-Jan-08,,0,8.55
26-Jan-08,,0,5.614
27-Jan-08,,0,4.051
28-Jan-08,,1.46,2.434
29-Jan-08,,3.11,7.789
30-Jan-08,,0,10.124
31-Jan-08,,18.11,11.482
1-Feb-08,,25.4,6.801
2-Feb-08,,28.5,4.706
3-Feb-08,,63.5,3.017
4-Feb-08,,61.85,4.267
5-Feb-08,,76.36,2.625
6-Feb-08,,78.12,1.536
7-Feb-08,,61.125,8.808
8-Feb-08,,50.62,6.319
9-Feb-08,,42.56,11.482
10-Feb-08,,36.22,7.789
11-Feb-08,,34.5,6.559
12-Feb-08,,31.77,8.294
13-Feb-08,,29.41,14.903
14-Feb-08,,29.43,13.739
15-Feb-08,,29.72,15.198
16-Feb-08,,41.81,21.688
17-Feb-08,,67.86,17.298
18-Feb-08,,215.48,18.838
19-Feb-08,,311.9833,29.732
20-Feb-08,,517.4,32.9
21-Feb-08,,693.18,29.384
22-Feb-08,,577.8,25.633
23-Feb-08,,534.65,24.3
24-Feb-08,,469.83,21.688
25-Feb-08,,570.25,17.298
26-Feb-08,,714.5,18.218
27-Feb-08,,953.6,32.9
28-Feb-08,,1346.24,22.334
29-Feb-08,,,15.791
1-Mar-08,,1027.05,15.745
2-Mar-08,,431.88,12.823
3-Mar-08,,349.45,22.387
4-Mar-08,,360.78,19.909
5-Mar-08,,656.98,15.29
6-Mar-08,,612.95,11.074
7-Mar-08,,379.61,10.754
8-Mar-08,,419.5,10.754
9-Mar-08,,350.8,11.743
10-Mar-08,,302.02,9.563
11-Mar-08,,279.99,8.758
12-Mar-08,,310.76,9.563
13-Mar-08,,266.87,8.02
14-Mar-08,,342.44,9.018
15-Mar-08,,292.48,9.848
16-Mar-08,,237.4,11.743
17-Mar-08,,253.61,22.387
18-Mar-08,,419.12,16.696
19-Mar-08,,588.1,18.775
20-Mar-08,,726.01,19.909
21-Mar-08,,542.56,22.387
22-Mar-08,,418.43,23.054
23-Mar-08,,440.67,21.74
24-Mar-08,,337.33,17.193
25-Mar-08,,255.18,14.419
26-Mar-08,,346.64,15.29
27-Mar-08,,305.38,16.214
28-Mar-08,,294.54,28.308
29-Mar-08,,367.16,15.29
30-Mar-08,,789.53,46.606
31-Mar-08,,1009.17,35.794
1-Apr-08,,1667.93,
2-Apr-08,,1686.25,
3-Apr-08,,1826,
4-Apr-08,,1305.15,
5-Apr-08,,697.07,
6-Apr-08,,494.04,
7-Apr-08,,423.58,
8-Apr-08,,392.38,
9-Apr-08,,339.04,
10-Apr-08,,283.08,
11-Apr-08,,262.28,
12-Apr-08,,236.04,
13-Apr-08,,240.38,
14-Apr-08,,239.92,
15-Apr-08,,224.08,
16-Apr-08,,217.6,
17-Apr-08,,198.8,
18-Apr-08,,180.17,
19-Apr-08,,170.5,
20-Apr-08,,152.59,
21-Apr-08,,143.22,
22-Apr-08,,138.29,
23-Apr-08,,133.04,
24-Apr-08,,123.12,
25-Apr-08,,132.11,
26-Apr-08,,136.1,
27-Apr-08,,127.33,
28-Apr-08,,115.62,
29-Apr-08,,109.79,
30-Apr-08,,111.38,
1-May-08,,112.13,19.615
2-May-08,,126.3,15.764
3-May-08,,118.71,13.037
4-May-08,,109.64,11.19
5-May-08,,103.06,18.805
6-May-08,,97.19,15.764
7-May-08,,99.25,13.69
8-May-08,,93.79,13.037
9-May-08,,95.04,12.403
10-May-08,,94.76,10.612
11-May-08,,96.98,18.014
12-May-08,,107.09,15.053
13-May-08,,105.3,13.037
14-May-08,,103.59,12.403
15-May-08,,99.67,12.403
16-May-08,,99.08,10.612
17-May-08,,96.75,11.19
18-May-08,,97.36,11.19
19-May-08,,99.8958,10.051
20-May-08,,97.75,9.509
21-May-08,,96.33,8.478
22-May-08,,96.99,7.516
23-May-08,,99.71,10.612
24-May-08,,99,8.478
25-May-08,,99.52,8.478
26-May-08,,90.55,7.516
27-May-08,,100.21,7.061
28-May-08,,103.58,6.622
29-May-08,,103.42,7.061
30-May-08,,95.95,6.622
31-May-08,,94.28,5.795
1-Jun-08,,85,5.471
2-Jun-08,,88.29,5.214
3-Jun-08,,92.96,5.214
4-Jun-08,,91.48,4.724
5-Jun-08,,86.51,4.724
6-Jun-08,,84.33,4.491
7-Jun-08,,83.06,4.049
8-Jun-08,,71.1,3.839
9-Jun-08,,52,3.839
10-Jun-08,,52.09,3.839
11-Jun-08,,48.64,3.839
12-Jun-08,,49.16,3.839
13-Jun-08,,49.3,3.839
14-Jun-08,,48.16,3.839
15-Jun-08,,46.26,3.839
16-Jun-08,,44.12,4.266
17-Jun-08,,43.25,5.214
18-Jun-08,,41.71,4.724
19-Jun-08,,53.62,3.839
20-Jun-08,,46.94,3.839
21-Jun-08,,46.55,3.839
22-Jun-08,,44.8,3.839
23-Jun-08,,48.19,3.839
24-Jun-08,,57.59,8.887
25-Jun-08,,52.71,5.737
26-Jun-08,,60.75,4.491
27-Jun-08,,71.42,3.839
28-Jun-08,,77.29,3.839
29-Jun-08,,42.74,3.839
30-Jun-08,,37.81,3.839
1-Jul-08,,85,3.442
2-Jul-08,,49.65,3.442
3-Jul-08,,51.42,3.442
4-Jul-08,,51.79,3.442
5-Jul-08,,54.75,3.442
6-Jul-08,,57.38,3.442
7-Jul-08,,57.5,3.442
8-Jul-08,,57.5,3.442
9-Jul-08,,57.5,3.442
10-Jul-08,,56,3.442
11-Jul-08,,53.38,3.442
12-Jul-08,,54.67,3.442
13-Jul-08,,64.76,4.965
14-Jul-08,,54.83,4.049
15-Jul-08,,42.73,3.839
16-Jul-08,,43.5,3.637
17-Jul-08,,42.81,3.637
18-Jul-08,,42.5,3.442
19-Jul-08,,43.54,3.442
20-Jul-08,,44.68,3.442
