date,nacara,psanchezcerro,puchaca,batan,salinar,quirihuac ,condorcerro,pcarretera,sectutuma,phuamba,yanapampa,sayan,santodomingo,larancocha,chosica,socsi,conta,laachirana,bellaunion,pjaqui,huatiapa,pcarreteracamana,pdiablo,chucarapi,chiriotumilaca,aguascalientes
1-Jan-08,,1.04,2.434,10.591,,6.39,205.7,,,,,,,,,37,,,,,,,9.132,,,
2-Jan-08,,0.83,1.707,12.43,,13.57,186.87,,,,,,,,,34,,,,,,,,,,
3-Jan-08,,0.63,4.267,10.153,,6.08,145.9,,,,,,,,,34,,,,,,,9.19,,,
4-Jan-08,,0.4167,3.017,9.724,,4.1,141.4,,,,,,,,,32,,,,,,,,,,
5-Jan-08,,0,3.629,7.713,,3.93,121.63,,,,,,,,,31,,,,,,,11.081,,,
6-Jan-08,,0.4167,4.267,6.971,,4.23,123.9,,,,,,,,,34,,,,,,,,,,
7-Jan-08,,0.42,5.847,7.713,,3.77,123.3,,,,,,,,,46,,,,,,,11.815,,,
8-Jan-08,,0,16.691,10.153,,4.53,168.9,,,,,,,,,85,,,,,,,,,,
9-Jan-08,,0,10.124,12.43,,5.07,204.07,,,,,,,,,85,,,,,,,12.371,,,
10-Jan-08,,0,5.383,9.724,,3.38,222.4,,,,,,,,,120,,,,,,,,,,
11-Jan-08,,0,4.485,8.097,,2.9,178.37,,,,,,,,,92,,,,,,,28.697,,,
12-Jan-08,,0,3.218,7.338,,2.36,152.53,,,,,,,,,85,,,,,,,,,,
13-Jan-08,,0,6.801,6.614,,2.03,145.07,,,,,,,,,85,,,,,,,25.034,,,
14-Jan-08,,1.04,10.392,6.266,,2.25,148.9,,,,,,,,,90,,,,,,,,,,
15-Jan-08,,0,4.929,7.338,,4.1,224.73,,,,,,,,,95,,,,,,,27.284,,,
16-Jan-08,,0.42,8.55,8.097,,7.23,319.43,,,,,,,,,158,,,,,,,,,,
17-Jan-08,,0,9.592,7.713,,6.6,278.53,,,,,,,,,170,,,,,,,25.268,,,
18-Jan-08,,0,5.614,6.971,,7.52,326.73,,,,,,,,,100,,,,,,,,,,
19-Jan-08,,0.83,4.706,6.614,,0.6,293.63,,,,,,,,,102,,,,,,,29.951,,,
20-Jan-08,,0.83,6.319,6.266,,4.39,232.6,,,,,,,,,120,,,,,,,,,,
21-Jan-08,,1.04,5.614,5.926,,6.15,228.67,,,,,,,,,88,,,,,,,28.914,,,
22-Jan-08,,0,4.485,6.614,,6.4,239.03,,,,,,,,,105,,,,,,,,,,
23-Jan-08,,0,3.838,6.614,,6.14,221.57,,,,,,,,,90,,,,,,,29.332,,,
24-Jan-08,,0,7.045,6.266,,7.04,253.73,,,,,,,,,85,,,,,,,,,,
25-Jan-08,,0,8.55,5.926,,8.1,319.43,,,,,,,,,118,,,,,,,28.689,,,
26-Jan-08,,0,5.614,6.266,,12.83,434.17,,,,,,,,,118,,,,,,,,,,
27-Jan-08,,0,4.051,5.926,,6.29,373.47,,,,,,,,,114,,,,,,,30.104,,,
28-Jan-08,,1.46,2.434,7.338,,7.24,323.27,,,,,,,,,145,,,,,,,,,,
29-Jan-08,,3.11,7.789,11.957,,6.3,270.73,,,,,,,,,165,,,,,,,27.333,,,
30-Jan-08,,0,10.124,9.724,,5.11,245.5,,,,,,,,,175,,,,,,,,,,
31-Jan-08,,18.11,11.482,8.491,,4.8,204.13,,,,,,,,,200,,,,,,,25.895,,,
1-Feb-08,,25.4,6.801,7.338,,3.7,184.6,,,,,,,,,178,,,,,,,,,,
2-Feb-08,,28.5,4.706,5.926,,7.78,166.83,,,,,,,,,158,,,,,,,18.348,,,
3-Feb-08,,63.5,3.017,5.596,,4.54,148.8,,,,,,,,,138,,,,,,,,,,
4-Feb-08,,61.85,4.267,5.926,,4.05,153.33,,,,,,,,,118,,,,,,,16.055,,,
5-Feb-08,,76.36,2.625,5.275,,4.47,142.7,,,,,,,,,90,,,,,,,14.798,,,
6-Feb-08,,78.12,1.536,5.275,,5.12,133.83,,,,,,,,,98,,,,,,,13.461,,,
7-Feb-08,,61.125,8.808,5.275,,5.38,123.47,,,,,,,,,95,,,,,,,13.643,,,
8-Feb-08,,50.62,6.319,5.275,,6.27,142.73,,,,,,,,,88,,,,,,,13.481,,,
9-Feb-08,,42.56,11.482,4.66,,7.04,147.5,,,,,,,,,85,,,,,,,13.333,,,
10-Feb-08,,36.22,7.789,4.963,,6.69,136.07,,,,,,,,,80,,,,,,,13.301,,,
